"glad
","zadowolony
"
"handy
","poręczny
"
"disappointed
","rozczarowany
"
"céline
","céline
"
"individualthe
","indywidualnie
"
"hans
","hans
"
"lapping
","docieranie
"
"viningthe
","viningthe
"
"mere
","sam
"
"thorough
","dokładny
"
"innately
","wrodzony
"
"billow
","bałwan
"
"carbon
","węgiel
"
"whynot
","Dlaczego nie
"
"praise
","pochwała
"
"bean
","fasola
"
"buzzing
","brzęczenie
"
"pearl-coloured
","w kolorze perłowym
"
"uneducated
","niewykształcony
"
"funny
","zabawny
"
"spitzbergen
","spitzbergen
"
"brother
","brat
"
"meridian
","południk
"
"venture
","przedsięwzięcie
"
"indissolubly
","nierozerwalny
"
"floury
","mączysty
"
"petition
","Petycja
"
"girlrather
","dziewczynarather
"
"adults
","dorośli ludzie
"
"apertures
","otwory
"
"italian
","Włoski
"
"hindostanee
","hindostanee
"
"fleet
","flota
"
"goaded
","sprowokowany
"
"strains
","szczepy
"
"vault-like
","jak sklepienie
"
"snatched
","porwana
"
"signals
","sygnały
"
"appalled
","zbulwersowany
"
"all
","wszystko
"
"overflowed
","przepełniony
"
"friesland
","Friesland
"
"magnificent
","wspaniały
"
"gurgled
","bulgotał
"
"heartdelicate
","heartdelicate
"
"languid
","ospały
"
"sis
","siostrzyczko
"
"veriest
","najbardziej
"
"renewalmy
","odnowienie
"
"acknowledged
","potwierdzone
"
"one-horse
","jeden koń
"
"sealed
","zapieczętowany
"
"unlucky
","nieszczęśliwy
"
"barking
","korowanie
"
"perused
","przestudiowane
"
"attentions
","uprzejmości
"
"seenthat
","widziałem to
"
"determination
","determinacja
"
"whining
","jęczenie
"
"resultinginsolence
","wynikająca z tego bezsenność
"
"abuzz
","brzęczenie
"
"seemed
","wydawało się
"
"differ
","różnić się
"
"eagerness
","zapał
"
"profusion
","obfitość
"
"thrice
","trzykrotnie
"
"squabbling
","kłótnia
"
"summons
","wezwanie
"
"thatnothing
","że nic
"
"swampeddelicious
","przepyszne
"
"darling'
","kochanie'
"
"inflicted
","zadane
"
"ink
","atrament
"
"f
","fa
"
"story-book
","książka z opowiadaniami
"
"unobserved
","nie zauważony
"
"soonand
","wkrótce i
"
"plain-workwoman
","zwykła robotnica
"
"incommunicative
","nierozmowny
"
"enunciation
","dykcja
"
"edwards
","Edwards
"
"reviving
","odradza się
"
"americans
","Amerykanie
"
"heathen
","pogański
"
"symbolizes
","symbolizuje
"
"parents
","rodzice
"
"incurring
","ponieść
"
"our
","nasz
"
"cars
","samochody
"
"sophisticalis
","sophistics
"
"newspaper
","Gazeta
"
"financial
","budżetowy
"
"gytrasha
","gytrasha
"
"stuffed
","nadziewany
"
"princely
","książęcy
"
"relitand
","ponownie
"
"chamomile
","rumianek
"
"helped
","pomógł
"
"devouring
","pożerający
"
"parlor
","salon
"
"teases
","dokucza
"
"undeveloped
","nierozwinięty
"
"used
","używany
"
"cheek
","policzek
"
"tolerate
","tolerować
"
"timorous
","bojaźliwy
"
"marrowhis
","szpik kostny
"
"list
","lista
"
"moortje
","moortje
"
"everything's
","wszystkie rzeczy
"
"butt
","krupon
"
"half-an-hour
","pół godziny
"
"to-day
","dzisiaj
"
"variancea
","variancea
"
"railing
","balustrada
"
"roved
","wędrował
"
"accepted
","przyjęty
"
"certainement
","pewność
"
"certain
","pewny
"
"appreciate
","doceniać
"
"scrambling
","mieszanie się
"
"treat
","leczyć
"
"unintelligent
","nieinteligentny
"
"bates
","bates
"
"contamination
","zanieczyszczenie
"
"cicatrised
","zabliźniony
"
"rite
","obrzęd
"
"feelers
","czułki
"
"moorish
","mauretański
"
"thule
","thule
"
"bat
","nietoperz
"
"amber
","bursztyn
"
"deprecation
","dezaprobata
"
"is
","jest
"
"feari
","strach
"
"fellow-creature
","towarzysz-istota
"
"sensual
","zmysłowy
"
"thickly
","mętnie
"
"retaliation
","odwet
"
"last-named
","ostatni nazwany
"
"riot
","zamieszki
"
"viz
","mianowicie
"
"ah
","ah
"
"puritythat
","czystość
"
"vanquishing
","zwyciężanie
"
"movie-star
","gwiazda filmowa
"
"merchants
","kupcy
"
"resent
","Wysłany ponownie
"
"parlours
","salony
"
"forty-five
","czterdzieści pięć
"
"parsonage
","plebania
"
"compresses
","kompresuje
"
"dined
","jadłem
"
"helene
","Helene
"
"consenting
","wyrażając zgodę
"
"naturæ
","naturæ
"
"lifemomentarily
","przez chwilę życia
"
"vijzelstraat
","vijzelstraat
"
"times
","czasy
"
"horrified
","przerażony
"
"agreeable
","przyjemny
"
"inconsiderateness
","nierozważność
"
"gulliver
","guliwer
"
"madame's
","pani
"
"jaws
","szczęki
"
"civilized
","cywilizowany
"
"bathes
","kąpie się
"
"tucked
","schowany
"
"laurel
","laur
"
"reedalive
","reedalive
"
"real
","real
"
"informed
","powiadomiony
"
"nothat
","nie to
"
"hearthstone
","palenisko
"
"light's
","światła
"
"fantasies
","fantazje
"
"loudly
","głośno
"
"interruptions
","przerwy
"
"already
","już
"
"first-rate
","pierwszorzędny
"
"fight
","walka
"
"si
","si
"
"girls
","dziewczyny
"
"compliance
","spełnienie
"
"incorrigible
","niepoprawny
"
"folded
","fałdowy
"
"nothingnothing
","nic nic
"
"cambridge
","Cambridge
"
"james
","James
"
"threatening
","groźny
"
"alienated
","wyobcowany
"
"jerked
","szarpnął
"
"observations
","obserwacje
"
"riding-habit
","zwyczaj jeździecki
"
"hapless
","nieszczęśliwy
"
"ultimately
","ostatecznie
"
"daughters
","córki
"
"knitting-needles
","igły dziewiarskie
"
"middle-aged
","w średnim wieku
"
"voicegazing
","voicegazing
"
"untangle
","rozwikłać
"
"stone-cold
","zimny jak kamień
"
"send
","wysłać
"
"unnoticed
","niezauważony
"
"sack
","worek
"
"deliver
","dostarczyć
"
"sparked
","iskrzyło
"
"stoops
","pochyla się
"
"ulcer
","wrzód
"
"rumpled
","pognieciony
"
"saltsvolatile
","sole lotne
"
"governessing
","guwernantka
"
"housemaids
","pokojówki
"
"dormitories
","akademiki
"
"himif
","himif
"
"sotto
","sotto
"
"murders
","morderstwa
"
"attested
","poświadczone
"
"am
","jestem
"
"woman's
","kobiety
"
"pitiable
","żałosny
"
"reminiscences
","wspomnienia
"
"arm
","ramię
"
"carnations
","goździki
"
"hay
","siano
"
"garb
","strój
"
"celestial
","niebiański
"
"protect
","ochraniać
"
"covering
","pokrycie
"
"almost
","prawie
"
"school-habits
","nawyki szkolne
"
"curves
","Krzywe
"
"glided
","szybował
"
"affixed
","przymocowany
"
"afore
","przed
"
"mistaen
","mistaen
"
"cheat
","oszukać
"
"life-giving
","życiodajne
"
"swallow
","Łyk
"
"trice
","podciągać
"
"waver
","chwiać się
"
"unsettledmy
","niespokojny
"
"rational
","racjonalny
"
"sprain
","zwichnięcie
"
"trustworthy
","godny zaufania
"
"new-born
","nowo narodzony
"
"renounce
","zrzec się
"
"mamas
","mamas
"
"jonah
","jonah
"
"haughty-looking
","wyniosły
"
"retraced
","odtworzony
"
"communicated
","komunikowane
"
"tracing
","rysunek kalkowy
"
"crowded
","zatłoczony
"
"jonas
","jonas
"
"parentlessforsaken
","bez rodziców porzuceni
"
"comeit
","comeit
"
"elf-locks
","elfy-zamki
"
"penetrate
","przenikać
"
"patience
","cierpliwość
"
"cordially
","serdecznie
"
"hyacinths
","hiacynty
"
"assurance
","zapewnienie
"
"indeedto
","rzeczywiście
"
"school-duties
","obowiązki szkolne
"
"dimlyeach
","dimlyeach
"
"bitten
","ugryziony
"
"overwhelming
","przytłaczający
"
"beldame
","megiera
"
"foxglove
","naparstnica
"
"rod
","pręt
"
"decades
","dekady
"
"exert
","wywierać
"
"dressed
","ubrany
"
"populous
","gęsto zaludniony
"
"banging
","walić
"
"episode
","epizod
"
"dimpled
","dołeczki
"
"extraordinary
","niezwykły
"
"teas
","herbaty
"
"bunch
","wiązka
"
"tumultuous
","zgiełkliwy
"
"pour
","wlać
"
"governess
","guwernantka
"
"youre
","Jesteś
"
"examples
","przykłady
"
"hulling
","łuszczenie
"
"runny
","ciekły
"
"handwritten
","odręcznie
"
"muscular
","muskularny
"
"stilted
","koturnowy
"
"ascertain
","ustalać
"
"kneel
","klęczeć
"
"murmured
","mruknął
"
"tiens
","tiens
"
"guard
","strzec
"
"saymy
","saymy
"
"tremendously
","ogromnie
"
"pent
","zamknięty
"
"beguiled
","oszukany
"
"wave
","fala
"
"summary
","streszczenie
"
"rightthe
","dobrze
"
"gelsenkirchen
","gelsenkirchen
"
"innocence
","niewinność
"
"chose
","wybrał
"
"trains
","pociągi
"
"closet
","gabinet
"
"pressed
","prasowany
"
"explorers
","odkrywcy
"
"sunless
","bezsłoneczny
"
"tokens
","tokeny
"
"doubtless
","niewątpliwie
"
"warfreedom
","wolność wojenna
"
"accent
","akcent
"
"furious
","wściekły
"
"arrayed
","w szyku
"
"structure
","Struktura
"
"outweighs
","przeważa
"
"ignis
","ignis
"
"settle
","rozstrzygać
"
"truant
","nieobecny
"
"contained
","zawarte
"
"writes
","pisze
"
"faults
","wady
"
"understood
","zrozumiany
"
"winds
","wiatry
"
"truce
","rozejm
"
"upsets
","zdenerwowany
"
"illnesses
","choroby
"
"hairdo
","fryzura
"
"no-good
","nie dobrze
"
"fadier
","gwałtowniejszy
"
"tediousvery
","bardzo żmudny
"
"earthquake
","trzęsienie ziemi
"
"missouri
","missouri
"
"elegant
","elegancki
"
"hastily
","pochopnie
"
"s-
","s-
"
"obtain
","uzyskać
"
"busier
","bardziej zajęty
"
"meal
","posiłek
"
"disliking
","nie lubię
"
"coarsely-clad
","grubo platerowane
"
"decree
","dekret
"
"clucked
","gdakał
"
"guarantee
","gwarancja
"
"performances
","występy
"
"sordid
","brudny
"
"heiress
","dziedziczka
"
"bomb
","bomba
"
"danser
","danser
"
"anne-to
","anne-to
"
"trees
","drzewa
"
"fragments
","paprochy
"
"waxen
","woskowy
"
"liberal
","liberał
"
"aspirins
","aspiryny
"
"chapter
","rozdział
"
"walk
","spacerować
"
"nitpickers
","dziwki
"
"cuirass
","pancerz
"
"shh
","shh
"
"filter
","filtr
"
"gaveleave
","gaveleave
"
"buckles
","klamry
"
"bra
","biustonosz
"
"insuperable
","niepokonany
"
"'internationale
","„internationale
"
"basically
","gruntownie
"
"ended
","zakończone
"
"medicinal
","leczniczy
"
"canadian
","kanadyjski
"
"shrine
","świątynia
"
"bashful
","wstydliwy
"
"mich
","mich
"
"blowing
","dmuchanie
"
"delicacies
","bakalie
"
"terminating
","kończące się
"
"rifle
","karabin
"
"fire-irons
","żelazka gaśnicze
"
"belief
","wiara
"
"meticulous
","skrupulatny
"
"half-sister
","przyrodnia siostra
"
"fat
","tłuszcz
"
"salutes
","salutuje
"
"unreasonably
","nieracjonalnie
"
"curdles
","zsiadłe mleko
"
"camel-hair
","sierść wielbłąda
"
"bbc
","bbc
"
"shivers
","dreszcze
"
"ravine
","wąwóz
"
"disliked
","nie lubił
"
"pattern
","wzór
"
"re-entering
","ponowne wejście
"
"ignored
","ignorowane
"
"blanketed
","koc
"
"alonewhen
","samotnie wtedy
"
"sensationthe
","sensacja
"
"disadvantageously
","niekorzystnie
"
"carlo
","Carlo
"
"nerves
","nerwowość
"
"harlot
","nierządnica
"
"possible
","możliwy
"
"cloudsspread
","chmury rozrzucone
"
"slammed
","zatrzasnął
"
"bequest
","zapis
"
"semi-starvation
","pół-głód
"
"can
","mogą
"
"neatly
","starannie
"
"semitism
","semityzm
"
"grieved
","zasmucony
"
"units
","jednostki
"
"smallest
","najmniejszy
"
"parachuting
","spadochroniarstwo
"
"sages
","mędrcy
"
"unlike
","w odróżnieniu
"
"lends
","pożycza
"
"mille
","mille
"
"virulence
","zjadliwość
"
"race
","wyścigi
"
"fervid
","żarliwy
"
"receding
","cofnięty
"
"dovetailed
","dovetailed
"
"provoking
","irytujący
"
"apologize
","przepraszać
"
"sweater
","sweter
"
"useless
","bezużyteczny
"
"social
","społeczny
"
"comforted
","pocieszony
"
"lattice
","krata
"
"bewitched
","oczarowany
"
"chinperhaps
","być może
"
"indulgent
","pobłażliwy
"
"exceptionally
","wyjątkowo
"
"mud
","błoto
"
"spectacle
","spektakl
"
"humanity
","ludzkość
"
"whey-faced
","z serwatką
"
"ats
","ats
"
"hanne
","hanne
"
"boom
","Bum
"
"hint
","Wskazówka
"
"jewel-casket
","szkatułka z klejnotami
"
"enthusiasm
","entuzjazm
"
"genial
","bródkowy
"
"unexpectedly
","nieoczekiwanie
"
"'cause
","'przyczyna
"
"separate
","oddzielny
"
"bulb
","żarówka
"
"to-do
","do zrobienia
"
"lord
","Lord
"
"seeking
","szukanie
"
"bedsideor
","nocna lub
"
"danae
","danae
"
"enamored
","zakochany
"
"singular
","pojedynczy
"
"corruption
","korupcja
"
"renown
","rozgłos
"
"overgrown
","zarośnięty
"
"pervaded
","przeniknięty
"
"forefinger
","palec wskazujący
"
"dog-and-cat
","pies i kot
"
"providence
","opatrzność
"
"kick
","kopnięcie
"
"forced
","wymuszony
"
"throb
","pulsować
"
"yesbut
","tak ale
"
"hold
","trzymać
"
"terrific
","przerażający
"
"crouches
","kuca
"
"bold
","pogrubienie
"
"kidnapping
","porwanie
"
"don't
","nie
"
"jane
","Jane
"
"slate
","łupek
"
"distantly
","daleko
"
"semi-sarcastic
","pół-sarkastyczny
"
"curled
","zwinięty
"
"neophyte
","neofita
"
"after-occurrences
","następstwa
"
"postponed
","przełożone
"
"expression
","wyrażenie
"
"maaren
","maaren
"
"distracting
","rozpraszające
"
"flashing
","błyskowy
"
"salutary
","zbawienny
"
"boasted
","chwalił się
"
"shoved
","wepchnięty
"
"loot
","łup
"
"theories
","teorie
"
"simultaneously
","równocześnie
"
"laws
","prawa
"
"engender
","wywołać
"
"decline
","upadek
"
"therequick
","tam szybko
"
"nimbly
","fertycznie
"
"hats
","kapelusze
"
"borders
","granice
"
"climax
","punkt kulminacyjny
"
"impassable
","nieprzekraczalny
"
"speak
","mówić
"
"wretched
","nędzny
"
"cotentin
","cotentin
"
"exist
","istnieć
"
"hotel
","hotel
"
"bedroomsjust
","sypialnie po prostu
"
"constant
","stały
"
"sneaking
","skradanie się
"
"bratsill
","bratsill
"
"singled
","samotni
"
"stamping
","cechowanie
"
"suffer
","ponieść
"
"lifecorroded
","Lifecorroded
"
"whoosh
","szept
"
"curtained
","zasłonięty
"
"served
","serwowane
"
"searchingly
","badawczo
"
"ransacked
","splądrowany
"
"overawed
","onieśmielony
"
"explode
","eksplodować
"
"lingering
","przewlekły
"
"eddying
","wirowanie
"
"disappear
","znikać
"
"forenoon
","przedpołudnie
"
"nights
","noce
"
"inopportune
","nieodpowiedni
"
"travels
","podróże
"
"lessaie
","Lessaie
"
"requestwould
","żądanie
"
"gurt
","gurt
"
"lookeda
","looka
"
"safest
","najbezpieczniejszy
"
"tells
","mówi
"
"honore
","zaszczycić
"
"frosty
","mroźny
"
"unionswould
","związki
"
"whitcross
","whitcross
"
"out-house
","przybudówka
"
"combing
","czesanie
"
"oddity
","kuriozum
"
"person
","osoba
"
"grandly
","pokaźnie
"
"pseudonym
","pseudonim
"
"dishonest
","nieuczciwy
"
"templesa
","świątyniea
"
"settled
","osiadły
"
"notno
","nie nie
"
"longsuffering
","cierpliwy
"
"freshest
","najświeższe
"
"johnwas
","johnwas
"
"doubtful
","wątpliwy
"
"stumpa
","stumpa
"
"lacerated
","poszarpany
"
"flakes
","płatki
"
"hearthtrembling
","rozpaczliwe
"
"hall
","sala
"
"permanently
","na stałe
"
"blood-red
","krwistoczerwony
"
"finest
","najlepsza
"
"happenedfetch
","się zdarzyło
"
"recognition
","uznanie
"
"masse
","masse
"
"undressed
","rozebrany
"
"prudence
","roztropność
"
"indecision
","niezdecydowanie
"
"shrivelled
","zeschnięty
"
"expand
","rozszerzać
"
"noa
","noa
"
"constraint
","przymus
"
"dewy
","zroszony
"
"afterward
","później
"
"stretch
","rozciągać
"
"jacque
","jacque
"
"lorn
","lorn
"
"previous
","poprzedni
"
"jan's
","Jan's
"
"harald
","harald
"
"backinto
","z powrotem do
"
"holly-bushes
","krzewy ostrokrzewu
"
"camps
","obozy
"
"indignant
","oburzony
"
"rejoinder
","odpowiedź
"
"refusal
","odmowa
"
"understanding
","zrozumienie
"
"scant
","skąpy
"
"fashion
","moda
"
"descends
","schodzi
"
"maid
","pokojówka
"
"cast-off
","odrzucenie
"
"tennis
","tenis
"
"disturbing
","niepokojące
"
"possesses
","posiada
"
"delight
","rozkosz
"
"frocks
","sukienki
"
"spray
","rozpylać
"
"faced
","w obliczu
"
"pinion
","wałek zębaty
"
"underneath
","pod spodem
"
"crates
","skrzynie
"
"cases
","przypadkach
"
"boiling
","wrzenie
"
"christened
","ochrzczony
"
"satiety
","sytość
"
"petitioned
","zwrócił się
"
"fées
","fées
"
"genius
","geniusz
"
"gleaning
","zbieranie
"
"absorbing
","absorbujący
"
"scowl
","groźne spojrzenie
"
"dogold
","dogold
"
"surge
","przypływ
"
"downright
","szczery
"
"baby
","kochanie
"
"themfour
","czterech
"
"example
","przykład
"
"pleasures
","przyjemności
"
"flaw
","wada
"
"mounted
","zamontowane
"
"exacting
","wymagający
"
"organ'
","organ'
"
"youyour
","ty twój
"
"notepaper
","Notatnik
"
"myselfi
","siebiei
"
"kitchendoor
","kitchendoor
"
"scourging
","biczowanie
"
"snows
","śniegi
"
"melting
","topienie
"
"case
","walizka
"
"arbitration
","arbitraż
"
"scene
","scena
"
"representing
","reprezentujący
"
"tother
","inne
"
"drawer
","szuflada
"
"wholesome
","zdrowy
"
"exotics
","egzotyki
"
"thisthis
","to to
"
"lays
","kładzie
"
"corroborate
","potwierdzać
"
"apparelling
","wyglądający
"
"hoped
","nadzieję
"
"assist
","wspierać
"
"judges
","sędziów
"
"sitting-room
","salon
"
"reached
","osiągnął
"
"designs
","projekty
"
"deepening
","pogłębianie
"
"haste
","pośpiech
"
"descended
","zstąpił
"
"xxv
","xxv
"
"rue
","żałować
"
"releasing
","zwalnianie
"
"vigour
","wigor
"
"fashionable
","modny
"
"know
","wiedzieć
"
"drug
","lek
"
"portrait-cover
","portret-okładka
"
"war's
","wojna
"
"ashtray
","popielniczka
"
"majority
","większość
"
"desirea
","pragnienie
"
"selfmy
","Selfmy
"
"priority
","priorytet
"
"pewter
","stop cyny z ołowiem
"
"vase
","wazon
"
"strangerunsympathising
","nieznajomy sympatyzujący
"
"they'll
","oni będą
"
"presented
","przedstawione
"
"eh
","eh
"
"raps
","rapuje
"
"desire
","pragnienie
"
"grappled
","zmagał się
"
"supper
","kolacja
"
"cancer
","rak
"
"chanced
","przypadkowo
"
"strengthened
","wzmocniony
"
"clatter
","brzęk
"
"books
","książki
"
"crawled
","czołgał się
"
"desert
","pustynia
"
"yesyes
","tak tak
"
"inhale
","wdychać
"
"worldfor
","świat dla
"
"sarvants
","sarvants
"
"didwhat
","zrobił co
"
"boggles
","dziwactwa
"
"cleaner's
","sprzątaczka
"
"population
","populacja
"
"friendless
","samotny
"
"criticism
","krytyka
"
"hardy
","wytrzymały
"
"scarcely
","ledwie
"
"eagerly
","z zapałem
"
"steadfastly
","niezłomnie
"
"saboteurs
","sabotażyści
"
"lugubrious
","ponury
"
"licensebut
","licencja, ale
"
"worn
","używany
"
"shorten
","skracać
"
"doom
","los
"
"washstand
","umywalka
"
"goldsmiths
","złotników
"
"bloodno
","blood no
"
"chamber-door
","drzwi komory
"
"hiss
","syk
"
"yarn
","przędza
"
"sound
","dźwięk
"
"loudest
","najgłośniej
"
"ewer
","dzbanek
"
"glacier
","lodowiec
"
"seemingly
","pozornie
"
"leastat
","najmniej
"
"vacillating
","niezdecydowany
"
"wordswhere
","słowa gdzie
"
"implacable
","nieubłagany
"
"moods
","nastroje
"
"brocklehursts
","brocklehursts
"
"blouse
","bluza
"
"drooling
","ślinienie się
"
"attacked
","zaatakowany
"
"ringlets
","loki
"
"development
","rozwój
"
"rallying
","rajdy
"
"strength
","siła
"
"connectionin
","connectin
"
"adopt
","przyjąć
"
"loftiest
","najwznioślejszy
"
"altered
","zmieniony
"
"feebleness
","niedorozwój umysłowy
"
"surveying
","geodezja
"
"heeded
","uważał
"
"theirs
","ich
"
"like
","lubić
"
"power
","moc
"
"pitch
","smoła
"
"abhor
","czuć wstręt
"
"architect
","architekt
"
"sardonically
","sardonicznie
"
"blood-bleached
","bielone krwią
"
"twelve-thirty
","dwunasta trzydzieści
"
"janegive
","janegive
"
"held
","trzymany
"
"regionsshould
","regiony powinny
"
"vote
","głosować
"
"womanyour
","Womanyour
"
"dawned
","zaświtało
"
"stir
","wymieszać
"
"rochesters
","Rochesters
"
"complained
","narzekał
"
"unkindness
","nieuprzejmość
"
"brutes
","brutale
"
"beech-trunka
","buk-pnia
"
"separating
","rozsadzający
"
"admirationthe
","podziw
"
"darn
","cerować
"
"abilities
","zdolności
"
"coronet
","diadem
"
"expectant
","w ciąży
"
"conscientious
","sumienny
"
"grin
","szeroki uśmiech
"
"gullivers
","guliwery
"
"acted
","działał
"
"afternoons
","popołudnia
"
"feverish
","gorączkowy
"
"remarkably
","wybitnie
"
"december
","grudzień
"
"irrepressible
","niepohamowany
"
"custom
","zwyczaj
"
"chimea
","chimea
"
"england's
","anglia
"
"circuit
","obwód
"
"nobly
","szlachetnie
"
"yesi
","tak, ja
"
"marypleased
","marypleased
"
"rationed
","kartkowy
"
"disappearing
","znikają
"
"recent
","niedawny
"
"remain
","pozostawać
"
"plebeian
","plebejski
"
"occupations
","zawody
"
"threaded
","gwintowane
"
"pocket-handkerchiefs
","chusteczki do nosa
"
"equestrians
","jeźdźcy
"
"eight
","osiem
"
"nighty
","koszulka nocna
"
"proper
","właściwy
"
"waited
","czekał
"
"incessantly
","nieustannie
"
"constriction
","duszenie
"
"horror
","przerażenie
"
"motion
","ruch
"
"medes
","medes
"
"liszt
","liszt
"
"sanctions
","sankcje
"
"moors
","wrzosowiska
"
"mebe
","mebe
"
"draped
","drapowany
"
"subjects
","tematy
"
"fuses
","bezpieczniki
"
"funnier
","zabawniejszy
"
"distinguishedpartly
","wyróżniający się częściowo
"
"kitchenon
","kuchnia
"
"irony
","ironia
"
"needles
","igły
"
"rears
","rears
"
"strong-limbed
","mocne kończyny
"
"hesitating
","wahający się
"
"breakage
","złamanie
"
"pitch-dark
","ciemny jak smoła
"
"pickled
","konserwowy
"
"react
","reagować
"
"based
","na podstawie
"
"above
","powyżej
"
"surround
","otaczać
"
"cochère
","cochère
"
"vines
","winorośl
"
"curtain
","kurtyna
"
"veilit
","veilit
"
"descriptive
","opisowy
"
"brothermy
","bracie
"
"exhilaration
","podekscytowanie
"
"visitation
","wizytacja
"
"letters
","litery
"
"agitating
","emocjonujący
"
"unrequited
","nie wynagrodzony
"
"hot
","gorąco
"
"bertus's
","Bertus's
"
"hung
","zawieszony
"
"thatthat
","to to
"
"cherry
","wiśnia
"
"missionarys
","misjonarze
"
"beyond
","poza
"
"unseemly
","nieprzyzwoity
"
"unreal
","nierealny
"
"tending
","pielęgnacja
"
"hemorrhaging
","krwotok
"
"bernhard
","Bernhard
"
"grabbing
","chwytanie
"
"outgrown
","przerośnięty
"
"lapcold
","lapcold
"
"reclined
","półleżący
"
"pan
","patelnia
"
"worshipped
","czczony
"
"ideathis
","ideathis
"
"charred
","zwęglony
"
"indefinite
","nieokreślony
"
"vacation
","wakacje
"
"embers
","żar
"
"divide
","podzielić
"
"truly
","naprawdę
"
"festoons
","festony
"
"workbox
","skrzynka robocza
"
"matron
","matrona
"
"roomthe
","pokój
"
"crest-fallen
","zbity z tropu
"
"to-nightto-night
","dzisiejszej nocy dzisiejszej nocy
"
"movementthat
","ruch, który
"
"openlyhere
","otwarcie tutaj
"
"audience
","publiczność
"
"corner
","kąt
"
"wot
","wot
"
"ignominy
","hańba
"
"strapper
","byczek
"
"gravelymiss
","gravelymiss
"
"refectory
","refektarz
"
"crybaby
","beksa
"
"raced
","ścigał się
"
"giant
","ogromny
"
"move
","ruszaj się
"
"insupportable
","nie do zniesienia
"
"nightperhaps
","może noc
"
"considerate
","uważny
"
"later
","później
"
"august
","sierpień
"
"mama
","mama
"
"lightweight
","lekki
"
"visitors
","goście
"
"spectators
","widzów
"
"lambmy
","lambmy
"
"iless
","ja mniej
"
"pointone
","pointone
"
"epistles
","listy
"
"im
","im
"
"prating
","duma
"
"lighter
","zapalniczka
"
"main
","Główny
"
"flu
","grypa
"
"pshawed
","pshawed
"
"answeredmy
","odpowiedział mi
"
"aggressor
","agresor
"
"orange-trees
","drzewa pomarańczowe
"
"happens
","dzieje się
"
"library
","biblioteka
"
"virgin
","dziewica
"
"half-wild
","półdzikie
"
"dareto
","odważyć się
"
"per
","za
"
"seed-cake
","placek z nasionami
"
"rose
","Róża
"
"heats
","rozgrzewa
"
"packed
","zapakowane
"
"giants
","gigantów
"
"manor-house
","Dwór
"
"excrement
","odchody
"
"despise
","gardzić
"
"heavenbestowed
","niebiański
"
"injured
","ranny
"
"tropics
","kraje tropikalne
"
"edging
","borta
"
"ahead
","przed siebie
"
"announcement
","ogłoszenie
"
"sinks
","tonie
"
"window's
","okna
"
"prepared
","przygotowany
"
"oran
","oran
"
"thankful
","wdzięczny
"
"objective
","cel
"
"excuses
","wymawianie się
"
"trembling
","drżenie
"
"schaap
","schaap
"
"vegetables
","warzywa
"
"sans
","sans
"
"cloudy
","pochmurny
"
"chill
","chłód
"
"buttermilk
","Maślanka
"
"waste
","marnotrawstwo
"
"pennymy
","grosza
"
"intense
","intensywny
"
"chimeras
","chimery
"
"lenient
","łagodny
"
"males
","samce
"
"intruded
","wtargnął
"
"dissuade
","odwieść
"
"presentiment
","przeczucie
"
"pioneers
","pionierzy
"
"wherever
","gdziekolwiek
"
"greatheart
","wielkie serce
"
"streak
","smuga
"
"madwoman
","wariatka
"
"hostages
","zakładnicy
"
"ire
","gniew
"
"lameter
","lameter
"
"land
","wylądować
"
"fetch
","sprowadzać
"
"devastated
","zdruzgotany
"
"returnings
","powroty
"
"reproof
","nagana
"
"fleurs
","Fleurs
"
"undiscovered
","nieodkryty
"
"companyto
","companyto
"
"notrenounce
","notrenounce
"
"fondant
","kremówka
"
"deceive
","oszukać
"
"cherish
","kochać
"
"brushing
","szczotkowanie
"
"labels
","etykiety
"
"established
","ustanowiony
"
"reviveand
","ożywić
"
"momentwas
","moment był
"
"agent
","agent
"
"faintness
","omdlenie
"
"high-lows
","wysokie dołki
"
"carted
","przewieziony
"
"dark-haired
","ciemnowłosy
"
"beer
","piwo
"
"guardian
","opiekun
"
"rate
","oceniać
"
"repugnance
","wstręt
"
"russian
","Rosyjski
"
"courting
","zaloty
"
"tearless
","bez łez
"
"tendency
","tendencja
"
"obstacles
","przeszkody
"
"uprooting
","wykorzenienie
"
"at
","w
"
"courtyard
","dziedziniec
"
"scantiness
","szczupłość
"
"insecure
","niepewny
"
"arched
","łukowaty
"
"excite
","podniecać
"
"slain
","zabity
"
"pausedproceed
","wstrzymano proces
"
"granby
","Granby
"
"arguments
","argumenty
"
"hugs
","uściski
"
"arctic
","arktyczny
"
"excesses
","ekscesy
"
"replyno
","odpowiedź
"
"pajamas
","piżama
"
"fiendno
","fiendno
"
"round
","okrągły
"
"height
","wysokość
"
"overcrowded
","zatłoczony
"
"torpedo
","torpeda
"
"sacrifices
","ofiary
"
"laude
","pochwała
"
"sideboard
","kredens
"
"arrived
","przybył
"
"blackout
","zaciemnienie
"
"top
","Top
"
"earn
","zarabiać
"
"crevices
","szczeliny
"
"marks
","znaki
"
"cod-liver
","z wątroby dorsza
"
"flurried
","zdenerwowany
"
"sera
","sera
"
"learnt
","nauczyliśmy
"
"nightits
","koszule nocne
"
"corded
","sznurowy
"
"estates
","osiedla
"
"charles
","Karol
"
"by
","przez
"
"recover
","wyzdrowieć
"
"reconciled
","pogodzeni
"
"chastisement
","kara
"
